Date,Open,High,Low,Close,Volume,Name,
2015-09-25,1.75,1.75,1.68,1.71,5644600,AMD,
2015-09-28,1.69,1.7,1.66,1.66,5693100,AMD,
2015-09-29,1.67,1.69,1.65,1.67,7005300,AMD,
2015-09-30,1.7,1.72,1.68,1.72,5739500,AMD,
2015-10-01,1.77,1.77,1.72,1.74,5531700,AMD,
2015-10-02,1.76,1.83,1.72,1.83,7146100,AMD,
2015-10-05,1.82,1.87,1.77,1.8,7595600,AMD,
2015-10-06,1.8,1.86,1.8,1.83,8558400,AMD,
2015-10-07,1.82,1.87,1.82,1.86,7859200,AMD,
2015-10-08,1.87,1.95,1.85,1.93,9198700,AMD,
2015-10-09,1.92,1.96,1.89,1.96,8629100,AMD,
2015-10-12,1.96,1.96,1.85,1.87,7686600,AMD,
2015-10-13,1.87,1.94,1.86,1.92,6698400,AMD,
2015-10-14,1.92,1.96,1.92,1.95,10184300,AMD,
2015-10-15,1.97,2.06,1.95,1.97,27327100,AMD,
2015-10-16,2,2,1.89,1.94,21544900,AMD,
2015-10-19,1.91,2.01,1.91,2.01,10670800,AMD,
2015-10-20,2,2.03,1.97,2.02,5584200,AMD,
2015-10-21,2.02,2.12,2.01,2.1,14944100,AMD,
2015-10-22,2.1,2.16,2.09,2.14,8208400,AMD,
2015-10-23,2.1,2.21,2.1,2.21,9564200,AMD,
2015-10-26,2.21,2.21,2.12,2.15,6313500,AMD,
2015-10-27,2.12,2.16,2.1,2.15,5755600,AMD,
2015-10-28,2.14,2.2,2.12,2.18,6950600,AMD,
2015-10-29,2.15,2.18,2.11,2.13,4500400,AMD,
2015-10-30,2.14,2.15,2.12,2.12,4897100,AMD,
2015-11-02,2.13,2.19,2.11,2.19,5858700,AMD,
2015-11-03,2.16,2.29,2.16,2.28,8705800,AMD,
2015-11-04,2.27,2.3,2.18,2.2,8205300,AMD,
2015-11-05,2.21,2.24,2.17,2.2,4302200,AMD,
2015-11-06,2.19,2.21,2.13,2.15,8997100,AMD,
2015-11-09,2.15,2.18,2.1,2.11,6231200,AMD,
2015-11-10,2.09,2.1,2.02,2.02,6162200,AMD,
2015-11-11,2.02,2.09,2.02,2.07,3532100,AMD,
2015-11-12,2.05,2.07,2,2,3576800,AMD,
2015-11-13,1.99,2.04,1.94,1.99,5920200,AMD,
2015-11-16,1.99,2.02,1.95,1.99,4149700,AMD,
2015-11-17,2.01,2.04,1.97,1.98,5825100,AMD,
2015-11-18,1.99,2.15,1.98,2.12,9384700,AMD,
2015-11-19,2.1,2.16,2.09,2.14,4704300,AMD,
2015-11-20,2.14,2.25,2.13,2.22,10727100,AMD,
2015-11-23,2.22,2.24,2.18,2.22,4863200,AMD,
2015-11-24,2.2,2.4,2.17,2.34,15859700,AMD,
2015-11-25,2.36,2.4,2.31,2.38,6914800,AMD,
2015-11-27,2.37,2.38,2.32,2.33,2606600,AMD,
2015-11-30,2.34,2.37,2.25,2.36,9924400,AMD,
2015-12-01,2.36,2.37,2.31,2.34,5646400,AMD,
2015-12-02,2.31,2.34,2.23,2.27,7501700,AMD,
2015-12-03,2.25,2.31,2.2,2.23,7059900,AMD,
2015-12-04,2.23,2.29,2.21,2.28,4572600,AMD,
2015-12-07,2.26,2.36,2.21,2.36,8479600,AMD,
2015-12-08,2.34,2.4,2.25,2.39,9055500,AMD,
2015-12-09,2.37,2.4,2.32,2.35,8710000,AMD,
2015-12-10,2.36,2.5,2.33,2.45,13069400,AMD,
2015-12-11,2.41,2.47,2.36,2.36,11890000,AMD,
2015-12-14,2.36,2.39,2.3,2.34,7625700,AMD,
2015-12-15,2.35,2.43,2.32,2.36,7423900,AMD,
2015-12-16,2.39,2.55,2.37,2.54,19543600,AMD,
2015-12-17,2.52,2.6,2.52,2.56,11374100,AMD,
